,absGAP,RGAP,d_cpdag,SHDs,TPR,FPR,run_time
0,0.0,0.0,2,1.0,0.8333333333333334,0.0,0.22340249999999973
1,0.0,0.0,2,1.0,0.8333333333333334,0.0,0.3364396670000005
2,0.0,0.0,2,1.0,0.8333333333333334,0.0,0.25643191700000045
3,0.0004185643527900851,5.231452043368077e-05,2,1.0,0.8333333333333334,0.0,0.2250212920000001
4,0.0,0.0,2,1.0,0.8333333333333334,0.0,0.28191725000000023
5,0.00019316066880570304,2.3543357674216743e-05,2,1.0,0.8333333333333334,0.0,0.3067332089999999
6,0.0,0.0,2,1.0,0.8333333333333334,0.0,0.2959663749999999
7,0.00010225741374902952,1.2183093683925735e-05,2,1.0,0.8333333333333334,0.0,0.25280070899999973
8,0.0,0.0,2,1.0,0.8333333333333334,0.0,0.25902462500000034
9,0.0,0.0,2,1.0,0.8333333333333334,0.0,0.22572162500000026
10,5.387779469590015e-05,7.346280227196308e-06,2,1.0,0.875,0.0,0.43581016600000044
11,0.0,0.0,2,1.0,0.875,0.0,0.5839943749999996
12,0.0,0.0,2,1.0,0.875,0.0,0.6431447089999995
13,0.0001112560819551689,1.7300411300163287e-05,2,1.0,0.875,0.0,1.0049899169999996
14,2.5293778627144547e-08,3.696474399508811e-09,2,1.0,0.875,0.0,0.7642387499999987
15,0.00033739338035765343,4.991434595167291e-05,2,1.0,0.875,0.0,0.7420889170000002
16,1.1809840206211675e-05,1.7640858430648768e-06,2,1.0,0.875,0.0,1.024266583000001
17,0.0,0.0,2,1.0,0.875,0.0,1.2157621250000012
18,0.0,0.0,2,1.0,0.875,0.0,0.9196756659999998
19,0.0,0.0,4,1.0,0.875,0.0,0.8856164579999977
20,0.0,0.0,2,1.0,0.9090909090909091,0.0,2.8830054999999994
21,0.0,0.0,2,1.0,0.9090909090909091,0.0,3.3221552920000015
22,0.0,0.0,2,1.0,0.9090909090909091,0.0,2.884458083000002
23,0.0,0.0,2,1.0,0.9090909090909091,0.0,2.043642375000001
24,0.0,0.0,2,1.0,0.9090909090909091,0.0,2.2893024169999983
25,0.0,0.0,2,1.0,0.9090909090909091,0.0,3.044561082999998
26,0.0,0.0,2,1.0,0.9090909090909091,0.0,4.5556695000000005
27,0.0,0.0,2,1.0,0.9090909090909091,0.0,2.382270333000001
28,0.0,0.0,2,1.0,0.9090909090909091,0.0,2.888705249999994
29,0.0,0.0,2,1.0,0.9090909090909091,0.0,2.850451917000001
30,1.0246545921400774,0.05062949905556534,9,3.0,0.88,0.0,750.0138940420001
31,1.1336233090889571,0.057782599243311195,9,3.0,0.88,0.0,749.9975318330002
32,1.3966084779534107,0.07046983057495175,9,2.0,0.92,0.0,750.0145750420002
33,1.0330062227012924,0.05316369091584935,9,3.0,0.88,0.0,750.0227627079998
34,0.9234759534465482,0.04606588385084946,4,2.0,0.92,0.0,750.0161265830002
35,0.6147763160944457,0.03121813118468326,9,3.0,0.88,0.0,750.0025187909996
36,0.6169575803932474,0.031216304720402186,9,3.0,0.88,0.0,750.022786042
37,0.8142609273698937,0.040371405839334885,9,3.0,0.88,0.0,750.0109480000001
38,0.19474353516345033,0.010095721793008055,9,3.0,0.88,0.0,750.0220481249999
39,1.1574010070324583,0.05770553175687985,9,3.0,0.88,0.0,750.1919926669998
